This file contains mapping from common api tags to language-specific tags
See https://github.com/ZettaScaleLabs/zenoh-tests/tree/tagging/api_matrix for details.

Tag,zenoh,zenoh-c
c.z_declare_subscriber,,src/subscriber.rs:137:18
c.z_delete,,src/put.rs:137:18
c.z_delete_options_default,,src/put.rs:120:25
c.z_delete_options_t,,src/put.rs:112:11
c.z_encoding_check,,src/commons.rs:269:18
c.z_encoding_default,,src/commons.rs:255:18
c.z_encoding_drop,,src/commons.rs:262:25
c.z_encoding_from_str,,src/commons.rs:236:25
c.z_encoding_loan,,src/commons.rs:276:18
c.z_encoding_null,,src/commons.rs:229:18
c.z_get,,src/get.rs:151:25
c.z_get_options_default,,src/get.rs:124:18
c.z_get_options_t,,src/get.rs:115:11
c.z_hello_check,,src/scouting.rs:54:18
c.z_hello_drop,,src/scouting.rs:40:25
c.z_hello_loan,,src/scouting.rs:47:25
c.z_hello_locators,,src/scouting.rs:77:18
c.z_hello_null,,src/scouting.rs:59:18
c.z_hello_whatami,,src/scouting.rs:69:18
c.z_hello_zid,,src/scouting.rs:64:18
c.z_id_t,,src/info.rs:21:29;src/opaque_types/mod.rs:293:11
c.z_info_peers_zid,,src/info.rs:50:25
c.z_info_routers_zid,,src/info.rs:71:25
c.z_info_zid,,src/info.rs:37:25
c.z_keyexpr_as_slice,,src/keyexpr.rs:392:25
c.z_keyexpr_canonize,,src/keyexpr.rs:229:25
c.z_keyexpr_canonize_null_terminated,,src/keyexpr.rs:210:25
c.z_keyexpr_check,,src/keyexpr.rs:166:18
c.z_keyexpr_concat,,src/keyexpr.rs:496:25
c.z_keyexpr_drop,,src/keyexpr.rs:160:18
c.z_keyexpr_equals,,src/keyexpr.rs:455:18
c.z_keyexpr_includes,,src/keyexpr.rs:478:18
c.z_keyexpr_intersection_level_t,,src/keyexpr.rs:564:9
c.z_keyexpr_intersection_level_t.d_i_s_j_o_i_n_t,,src/keyexpr.rs:565:4
c.z_keyexpr_intersection_level_t.e_q_u_a_l_s,,src/keyexpr.rs:568:4
c.z_keyexpr_intersection_level_t.i_n_c_l_u_d_e_s,,src/keyexpr.rs:567:4
c.z_keyexpr_intersection_level_t.i_n_t_e_r_s_e_c_t_s,,src/keyexpr.rs:566:4
c.z_keyexpr_intersects,,src/keyexpr.rs:465:18
c.z_keyexpr_is_canon,,src/keyexpr.rs:193:25
c.z_keyexpr_join,,src/keyexpr.rs:535:18
c.z_keyexpr_loan,,src/keyexpr.rs:148:18
c.z_keyexpr_new,,src/keyexpr.rs:99:25
c.z_keyexpr_new_autocanonize,,src/keyexpr.rs:124:25
c.z_keyexpr_null,,src/keyexpr.rs:46:18
c.z_keyexpr_relation_to,,src/keyexpr.rs:586:18
c.z_keyexpr_to_string,,src/keyexpr.rs:379:25
c.z_loaned_bytes_reader_t,,src/opaque_types/mod.rs:101:11;src/payload.rs:198:29
c.z_loaned_bytes_t,,src/opaque_types/mod.rs:14:11;src/payload.rs:51:29
c.z_loaned_condvar_t,,src/opaque_types/mod.rs:408:11;src/platform/synchronization.rs:101:29
c.z_loaned_config_t,,src/config.rs:66:29;src/opaque_types/mod.rs:285:11
c.z_loaned_encoding_t,,src/commons.rs:214:29;src/opaque_types/mod.rs:109:11
c.z_loaned_hello_t,,src/opaque_types/mod.rs:430:11;src/scouting.rs:31:29
c.z_loaned_keyexpr_t,,src/keyexpr.rs:186:29;src/opaque_types/mod.rs:244:11
c.z_loaned_mutex_t,,src/opaque_types/mod.rs:398:11;src/platform/synchronization.rs:9:29
c.z_loaned_mutex_try_lock,,src/platform/synchronization.rs:87:25
c.z_loaned_publisher_t,,src/opaque_types/mod.rs:318:11;src/publisher.rs:63:29
c.z_loaned_query_t,,src/opaque_types/mod.rs:155:11;src/queryable.rs:40:29
c.z_loaned_queryable_t,,src/opaque_types/mod.rs:175:11
c.z_loaned_reply_t,,src/get.rs:46:29;src/opaque_types/mod.rs:131:11
c.z_loaned_sample_t,,src/opaque_types/mod.rs:90:11
c.z_loaned_sample_timestamp,,src/commons.rs:126:18
c.z_loaned_session_t,,src/opaque_types/mod.rs:264:11
c.z_loaned_slice_array_t,,src/collections.rs:534:29;src/opaque_types/mod.rs:76:11
