This file contains mapping from common api tags to language-specific tags
See https://github.com/ZettaScaleLabs/zenoh-tests/tree/tagging/api_matrix for details.

Tag,zenoh,zenoh-c
c.zc_shmbuf_length,,src/shm.rs:211:25
c.zc_shmbuf_null,,src/shm.rs:176:18
c.zc_shmbuf_ptr,,src/shm.rs:191:25
c.zc_shmbuf_set_length,,src/shm.rs:222:25
c.zcu_closure_matching_status_call,,src/closures/matching_status_closure.rs:55:18
c.zcu_closure_matching_status_drop,,src/closures/matching_status_closure.rs:68:18
c.zcu_closure_matching_status_null,,src/closures/matching_status_closure.rs:48:25
c.zcu_locality_default,,src/commons.rs:324:18
c.zcu_locality_t,,src/commons.rs:297:9
c.zcu_locality_t.a_n_y,,src/commons.rs:298:4
c.zcu_locality_t.r_e_m_o_t_e,,src/commons.rs:300:4
c.zcu_locality_t.s_e_s_s_i_o_n__l_o_c_a_l,,src/commons.rs:299:4
c.zcu_matching_status_t,,src/publisher.rs:278:11
c.zcu_owned_closure_matching_status_t,,src/closures/matching_status_closure.rs:21:11
c.zcu_owned_closure_matching_status_t.empty,,src/closures/matching_status_closure.rs:28:11
c.zcu_owned_matching_listener_t,,src/opaque_types/mod.rs:333:11;src/publisher.rs:266:29
c.zcu_publisher_matching_listener_callback,,src/publisher.rs:285:18
c.zcu_reply_keyexpr_default,,src/commons.rs:354:18
c.zcu_reply_keyexpr_t,,src/commons.rs:330:9
c.zcu_reply_keyexpr_t.a_n_y,,src/commons.rs:331:4
c.zcu_reply_keyexpr_t.m_a_t_c_h_i_n_g__q_u_e_r_y,,src/commons.rs:332:4
c.ze_declare_publication_cache,,src/publication_cache.rs:91:18
c.ze_declare_querying_subscriber,,src/querying_subscriber.rs:133:25
c.ze_loaned_publication_cache_t,,src/opaque_types/mod.rs:388:11;src/publication_cache.rs:54:29
c.ze_loaned_querying_subscriber_t,,src/opaque_types/mod.rs:195:11
c.ze_owned_publication_cache_t,,src/opaque_types/mod.rs:383:11;src/publication_cache.rs:55:29
c.ze_owned_querying_subscriber_t,,src/opaque_types/mod.rs:190:11
c.ze_publication_cache_check,,src/publication_cache.rs:137:18
c.ze_publication_cache_null,,src/publication_cache.rs:129:18
c.ze_publication_cache_options_default,,src/publication_cache.rs:44:18
c.ze_publication_cache_options_t,,src/publication_cache.rs:34:11
c.ze_querying_subscriber_check,,src/querying_subscriber.rs:232:18
c.ze_querying_subscriber_get,,src/querying_subscriber.rs:183:25
c.ze_querying_subscriber_loan,,src/querying_subscriber.rs:238:18
c.ze_querying_subscriber_null,,src/querying_subscriber.rs:53:18
c.ze_querying_subscriber_options_default,,src/querying_subscriber.rs:86:18
c.ze_querying_subscriber_options_t,,src/querying_subscriber.rs:74:11
c.ze_undeclare_publication_cache,,src/publication_cache.rs:144:18
c.ze_undeclare_querying_subscriber,,src/querying_subscriber.rs:217:18
client_primitives.clear_data,zenoh/src/net/tests/tables.rs:469:11,
client_primitives.new,zenoh/src/net/tests/tables.rs:462:11,
downsampling_interceptor.new,zenoh/src/net/routing/interceptor/downsampling.rs:172:11,
downsampling_interceptor_factory.new,zenoh/src/net/routing/interceptor/downsampling.rs:55:11,
face.downgrade,zenoh/src/net/routing/dispatcher/face.rs:185:11,
policy_enforcer.init,zenoh/src/net/routing/interceptor/authorization.rs:140:11,
policy_enforcer.new,zenoh/src/net/routing/interceptor/authorization.rs:127:11,
policy_enforcer.policy_decision_point,zenoh/src/net/routing/interceptor/authorization.rs:240:11,
policy_enforcer.policy_information_point,zenoh/src/net/routing/interceptor/authorization.rs:199:11,
query_cleanup.spawn_query_clean_up_task,zenoh/src/net/routing/dispatcher/queries.rs:352:11,
resource.clean,zenoh/src/net/routing/dispatcher/resource.rs:277:11,
resource.close,zenoh/src/net/routing/dispatcher/resource.rs:305:11,
resource.expr,zenoh/src/net/routing/dispatcher/resource.rs:203:11,
resource.get_best_key,zenoh/src/net/routing/dispatcher/resource.rs:496:11,
resource.get_matches,zenoh/src/net/routing/dispatcher/resource.rs:534:11,
resource.get_resource,zenoh/src/net/routing/dispatcher/resource.rs:385:11,
resource.make_resource,zenoh/src/net/routing/dispatcher/resource.rs:326:11,
resource.match_resource,zenoh/src/net/routing/dispatcher/resource.rs:619:11,
resource.nonwild_prefix,zenoh/src/net/routing/dispatcher/resource.rs:220:11,
resource.print_tree,zenoh/src/net/routing/dispatcher/resource.rs:317:11,
resource.root,zenoh/src/net/routing/dispatcher/resource.rs:266:11,
resource.upgrade_resource,zenoh/src/net/routing/dispatcher/resource.rs:634:11,
runtime.bind_mcast_port,zenoh/src/net/runtime/orchestrator.rs:534:17,
runtime.bind_ucast_port,zenoh/src/net/runtime/orchestrator.rs:619:11,
runtime.connect_peer,zenoh/src/net/runtime/orchestrator.rs:870:17,
runtime.get_interfaces,zenoh/src/net/runtime/orchestrator.rs:500:11,
runtime.start,zenoh/src/net/runtime/orchestrator.rs:52:17,
rust.buffers.has_reader,zenoh/src/lib.rs:139:17,
rust.buffers.reader,zenoh/src/lib.rs:139:28,
rust.buffers.split_buffer,zenoh/src/lib.rs:138:16,
rust.buffers.z_buf,zenoh/src/lib.rs:140:8,
rust.buffers.z_buf_reader,zenoh/src/lib.rs:140:14,
rust.buffers.z_slice,zenoh/src/lib.rs:140:26,
rust.buffers.z_slice_buffer,zenoh/src/lib.rs:140:34,
rust.bytes.deserialize,zenoh/src/api/bytes.rs:51:10;zenoh/src/lib.rs:244:8,
rust.bytes.option_z_bytes,zenoh/src/api/bytes.rs:266:11;zenoh/src/lib.rs:244:21,
rust.bytes.serialize,zenoh/src/api/bytes.rs:44:10;zenoh/src/lib.rs:244:35,
rust.bytes.string_or_base64,zenoh/src/api/bytes.rs:1768:9;zenoh/src/lib.rs:244:46,
rust.bytes.string_or_base64.base64,zenoh/src/api/bytes.rs:1770:4,
rust.bytes.string_or_base64.into_string,zenoh/src/api/bytes.rs:1774:11,
rust.bytes.string_or_base64.string,zenoh/src/api/bytes.rs:1769:4,
rust.bytes.z_bytes,zenoh/src/api/bytes.rs:62:11;zenoh/src/lib.rs:244:62,
rust.bytes.z_bytes.deserialize,zenoh/src/api/bytes.rs:139:11,
rust.bytes.z_bytes.deserialize_mut,zenoh/src/api/bytes.rs:150:11,
rust.bytes.z_bytes.empty,zenoh/src/api/bytes.rs:66:14,
rust.bytes.z_bytes.from_reader,zenoh/src/api/bytes.rs:94:11,
rust.bytes.z_bytes.into,zenoh/src/api/bytes.rs:161:11,
rust.bytes.z_bytes.into_mut,zenoh/src/api/bytes.rs:170:11,
rust.bytes.z_bytes.is_empty,zenoh/src/api/bytes.rs:79:11,
rust.bytes.z_bytes.iter,zenoh/src/api/bytes.rs:109:11,
rust.bytes.z_bytes.len,zenoh/src/api/bytes.rs:84:11,
rust.bytes.z_bytes.new,zenoh/src/api/bytes.rs:71:11,
rust.bytes.z_bytes.reader,zenoh/src/api/bytes.rs:89:11,
rust.bytes.z_bytes.serialize,zenoh/src/api/bytes.rs:131:11,
rust.bytes.z_bytes.writer,zenoh/src/api/bytes.rs:104:11,
rust.bytes.z_bytes_iterator,zenoh/src/api/bytes.rs:215:11;zenoh/src/lib.rs:244:70,
rust.bytes.z_bytes_reader,zenoh/src/api/bytes.rs:182:11;zenoh/src/lib.rs:244:86,
rust.bytes.z_bytes_writer,zenoh/src/api/bytes.rs:199:11;zenoh/src/lib.rs:245:8,
rust.bytes.z_deserialize_error,zenoh/src/api/bytes.rs:313:11;zenoh/src/lib.rs:245:22,
rust.bytes.z_serde,zenoh/src/api/bytes.rs:310:11;zenoh/src/lib.rs:245:41,
rust.config.//,zenoh/src/lib.rs:357:4,
rust.core.async_resolve,zenoh/src/lib.rs:123:24,
rust.core.err_no,zenoh/src/lib.rs:131:40,
rust.core.error,zenoh/src/lib.rs:128:26,
rust.core.resolvable,zenoh/src/lib.rs:126:25,
rust.core.resolve,zenoh/src/lib.rs:126:37,
rust.core.result,zenoh/src/lib.rs:130:37,
rust.core.sync_resolve,zenoh/src/lib.rs:125:24,
rust.core.try_init_log_from_env,zenoh/src/lib.rs:131:47,
rust.core.wait,zenoh/src/lib.rs:126:46,
rust.encoding.encoding,zenoh/src/api/encoding.rs:79:11;zenoh/src/lib.rs:238:34,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__c_b_o_r,zenoh/src/api/encoding.rs:176:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__c_d_r,zenoh/src/api/encoding.rs:169:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__c_o_a_p__p_a_y_l_o_a_d,zenoh/src/api/encoding.rs:331:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__j_a_v_a__s_e_r_i_a_l_i_z_e_d__o_b_j_e_c_t,zenoh/src/api/encoding.rs:219:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__j_s_o_n,zenoh/src/api/encoding.rs:155:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__j_s_o_n__p_a_t_c_h__j_s_o_n,zenoh/src/api/encoding.rs:338:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__j_s_o_n__s_e_q,zenoh/src/api/encoding.rs:345:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__j_s_o_n_p_a_t_h,zenoh/src/api/encoding.rs:352:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__j_w_t,zenoh/src/api/encoding.rs:359:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__m_p4,zenoh/src/api/encoding.rs:366:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__o_c_t_e_t__s_t_r_e_a_m,zenoh/src/api/encoding.rs:141:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__o_p_e_n_m_e_t_r_i_c_s__t_e_x_t,zenoh/src/api/encoding.rs:226:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__p_r_o_t_o_b_u_f,zenoh/src/api/encoding.rs:212:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__p_y_t_h_o_n__s_e_r_i_a_l_i_z_e_d__o_b_j_e_c_t,zenoh/src/api/encoding.rs:204:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__s_o_a_p__x_m_l,zenoh/src/api/encoding.rs:373:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__s_q_l,zenoh/src/api/encoding.rs:324:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__x__w_w_w__f_o_r_m__u_r_l_e_n_c_o_d_e_d,zenoh/src/api/encoding.rs:275:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__x_m_l,zenoh/src/api/encoding.rs:268:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__y_a_m_l,zenoh/src/api/encoding.rs:183:14,
rust.encoding.encoding.a_p_p_l_i_c_a_t_i_o_n__y_a_n_g,zenoh/src/api/encoding.rs:380:14,
rust.encoding.encoding.a_u_d_i_o__a_a_c,zenoh/src/api/encoding.rs:387:14,
rust.encoding.encoding.a_u_d_i_o__f_l_a_c,zenoh/src/api/encoding.rs:394:14,
rust.encoding.encoding.a_u_d_i_o__m_p4,zenoh/src/api/encoding.rs:401:14,
rust.encoding.encoding.a_u_d_i_o__o_g_g,zenoh/src/api/encoding.rs:408:14,
rust.encoding.encoding.a_u_d_i_o__v_o_r_b_i_s,zenoh/src/api/encoding.rs:415:14,
rust.encoding.encoding.default,zenoh/src/api/encoding.rs:611:14,
rust.encoding.encoding.i_m_a_g_e__b_m_p,zenoh/src/api/encoding.rs:254:14,
rust.encoding.encoding.i_m_a_g_e__g_i_f,zenoh/src/api/encoding.rs:247:14,
rust.encoding.encoding.i_m_a_g_e__j_p_e_g,zenoh/src/api/encoding.rs:240:14,
rust.encoding.encoding.i_m_a_g_e__p_n_g,zenoh/src/api/encoding.rs:233:14,
rust.encoding.encoding.i_m_a_g_e__w_e_b_p,zenoh/src/api/encoding.rs:261:14,
rust.encoding.encoding.t_e_x_t__c_s_s,zenoh/src/api/encoding.rs:296:14,
rust.encoding.encoding.t_e_x_t__c_s_v,zenoh/src/api/encoding.rs:317:14,
rust.encoding.encoding.t_e_x_t__h_t_m_l,zenoh/src/api/encoding.rs:282:14,
rust.encoding.encoding.t_e_x_t__j_a_v_a_s_c_r_i_p_t,zenoh/src/api/encoding.rs:303:14,
rust.encoding.encoding.t_e_x_t__j_s_o_n,zenoh/src/api/encoding.rs:162:14,
rust.encoding.encoding.t_e_x_t__j_s_o_n5,zenoh/src/api/encoding.rs:197:14,
rust.encoding.encoding.t_e_x_t__m_a_r_k_d_o_w_n,zenoh/src/api/encoding.rs:310:14,
rust.encoding.encoding.t_e_x_t__p_l_a_i_n,zenoh/src/api/encoding.rs:148:14,
rust.encoding.encoding.t_e_x_t__x_m_l,zenoh/src/api/encoding.rs:289:14,
rust.encoding.encoding.t_e_x_t__y_a_m_l,zenoh/src/api/encoding.rs:190:14,
rust.encoding.encoding.v_i_d_e_o__h261,zenoh/src/api/encoding.rs:422:14,
rust.encoding.encoding.v_i_d_e_o__h263,zenoh/src/api/encoding.rs:429:14,
rust.encoding.encoding.v_i_d_e_o__h264,zenoh/src/api/encoding.rs:436:14,
rust.encoding.encoding.v_i_d_e_o__h265,zenoh/src/api/encoding.rs:443:14,
rust.encoding.encoding.v_i_d_e_o__h266,zenoh/src/api/encoding.rs:450:14,
rust.encoding.encoding.v_i_d_e_o__m_p4,zenoh/src/api/encoding.rs:457:14,
rust.encoding.encoding.v_i_d_e_o__o_g_g,zenoh/src/api/encoding.rs:464:14,
rust.encoding.encoding.v_i_d_e_o__r_a_w,zenoh/src/api/encoding.rs:471:14,
rust.encoding.encoding.v_i_d_e_o__v_p8,zenoh/src/api/encoding.rs:478:14,
rust.encoding.encoding.v_i_d_e_o__v_p9,zenoh/src/api/encoding.rs:485:14,
rust.encoding.encoding.with_schema,zenoh/src/api/encoding.rs:617:11,
rust.encoding.encoding.z_e_n_o_h__b_o_o_l,zenoh/src/api/encoding.rs:118:14,
rust.encoding.encoding.z_e_n_o_h__b_y_t_e_s,zenoh/src/api/encoding.rs:90:14,
rust.encoding.encoding.z_e_n_o_h__e_r_r_o_r,zenoh/src/api/encoding.rs:132:14,
rust.encoding.encoding.z_e_n_o_h__f_l_o_a_t,zenoh/src/api/encoding.rs:111:14,
rust.encoding.encoding.z_e_n_o_h__i_n_t,zenoh/src/api/encoding.rs:97:14,
rust.encoding.encoding.z_e_n_o_h__s_t_r_i_n_g,zenoh/src/api/encoding.rs:125:14,
rust.encoding.encoding.z_e_n_o_h__u_i_n_t,zenoh/src/api/encoding.rs:104:14,
rust.encoding.encoding_mapping,zenoh/src/api/encoding.rs:729:10,
rust.f_e_a_t_u_r_e_s,zenoh/src/lib.rs:93:10,
rust.handlers.callback,zenoh/src/lib.rs:314:16,
rust.handlers.callback_drop,zenoh/src/api/handlers/callback.rs:64:11;zenoh/src/lib.rs:314:26,
rust.handlers.default_handler,zenoh/src/api/handlers/mod.rs:45:11;zenoh/src/lib.rs:314:40,
rust.handlers.fifo_channel,zenoh/src/api/handlers/fifo.rs:21:11;zenoh/src/lib.rs:314:56,
rust.handlers.fifo_channel.new,zenoh/src/api/handlers/fifo.rs:27:11,
rust.handlers.into_handler,zenoh/src/api/handlers/mod.rs:36:10;zenoh/src/lib.rs:314:69,
rust.handlers.locked,zenoh/src/api/handlers/callback.rs:21:7;zenoh/src/lib.rs:314:8,
rust.handlers.ring_channel,zenoh/src/api/handlers/ring.rs:26:11;zenoh/src/lib.rs:314:82,
rust.handlers.ring_channel.new,zenoh/src/api/handlers/ring.rs:32:11,
rust.handlers.ring_channel_handler,zenoh/src/api/handlers/ring.rs:48:11;zenoh/src/lib.rs:315:8,
rust.handlers.ring_channel_handler.recv,zenoh/src/api/handlers/ring.rs:54:11,
rust.handlers.ring_channel_handler.recv_async,zenoh/src/api/handlers/ring.rs:67:17,
rust.handlers.ring_channel_handler.try_recv,zenoh/src/api/handlers/ring.rs:84:11,
rust.info.peers_zenoh_id_builder,zenoh/src/api/info.rs:129:11;zenoh/src/lib.rs:212:8,
rust.info.routers_zenoh_id_builder,zenoh/src/api/info.rs:79:11;zenoh/src/lib.rs:212:29,
rust.info.session_info,zenoh/src/api/info.rs:176:11;zenoh/src/lib.rs:212:52,
rust.info.session_info.peers_zid,zenoh/src/api/info.rs:232:11,
rust.info.session_info.routers_zid,zenoh/src/api/info.rs:213:11,
rust.info.session_info.zid,zenoh/src/api/info.rs:193:11,
rust.info.zenoh_id_builder,zenoh/src/api/info.rs:39:11;zenoh/src/lib.rs:212:65,
rust.internal.bail,zenoh/src/lib.rs:374:26,
rust.internal.condition,zenoh/src/lib.rs:375:24,
rust.internal.lib_loader,zenoh/src/lib.rs:378:41,
rust.internal.resolve_future,zenoh/src/lib.rs:378:14,
rust.internal.task_controller,zenoh/src/lib.rs:376:25,
rust.internal.terminatable_task,zenoh/src/lib.rs:376:41,
rust.internal.timed,zenoh/src/lib.rs:378:52,
rust.internal.timed_event,zenoh/src/lib.rs:378:59,
rust.internal.timer,zenoh/src/lib.rs:378:71,
rust.internal.z_e_n_o_h__h_o_m_e__e_n_v__v_a_r,zenoh/src/lib.rs:378:78,
rust.internal.zasync_executor_init,zenoh/src/lib.rs:373:25,
rust.internal.zenoh_home,zenoh/src/lib.rs:378:29,
rust.internal.zerror,zenoh/src/lib.rs:373:47,
rust.internal.zlock,zenoh/src/lib.rs:373:55,
rust.internal.ztimeout,zenoh/src/lib.rs:373:62,
rust.key_expr.kedefine,zenoh/src/lib.rs:183:27,
rust.key_expr.keformat,zenoh/src/lib.rs:183:37,
rust.key_expr.kewrite,zenoh/src/lib.rs:183:47,
rust.key_expr.key_expr,zenoh/src/api/key_expr.rs:60:11;zenoh/src/lib.rs:185:35,
rust.key_expr.key_expr.as_keyexpr,zenoh/src/api/key_expr.rs:164:11,
rust.key_expr.key_expr.autocanonize,zenoh/src/api/key_expr.rs:146:11,
rust.key_expr.key_expr.borrowing_clone,zenoh/src/api/key_expr.rs:109:11,
rust.key_expr.key_expr.concat,zenoh/src/api/key_expr.rs:239:11,
rust.key_expr.key_expr.from_boxed_string_unchecked,zenoh/src/api/key_expr.rs:86:18,
rust.key_expr.key_expr.from_str_unchecked,zenoh/src/api/key_expr.rs:159:18,
rust.key_expr.key_expr.from_string_unchecked,zenoh/src/api/key_expr.rs:78:18,
rust.key_expr.key_expr.into_owned,zenoh/src/api/key_expr.rs:169:11,
rust.key_expr.key_expr.join,zenoh/src/api/key_expr.rs:214:11,
rust.key_expr.key_expr.new,zenoh/src/api/key_expr.rs:99:11,
rust.key_expr.key_expr_undeclaration,zenoh/src/api/key_expr.rs:576:11;zenoh/src/lib.rs:185:44,
rust.key_expr.keyexpr,zenoh/src/lib.rs:182:28,
rust.key_expr.keyexpr_tree.i_key_expr_tree,zenoh/src/lib.rs:179:12,
rust.key_expr.keyexpr_tree.i_key_expr_tree_mut,zenoh/src/lib.rs:179:26,
rust.key_expr.keyexpr_tree.ke_box_tree,zenoh/src/lib.rs:179:43,
rust.key_expr.keyexpr_tree.keyed_set_provider,zenoh/src/lib.rs:177:19,
rust.key_expr.keyexpr_tree.non_wild,zenoh/src/lib.rs:178:22,
rust.key_expr.keyexpr_tree.unknown_wildness,zenoh/src/lib.rs:178:31,
rust.key_expr.owned_key_expr,zenoh/src/lib.rs:182:37,
rust.key_expr.session.init,zenoh/src/lib.rs:199:33,
rust.key_expr.session.init_builder,zenoh/src/lib.rs:202:33,
rust.key_expr.session.open,zenoh/src/lib.rs:205:18,
rust.key_expr.session.open_builder,zenoh/src/lib.rs:205:24,
rust.key_expr.session.session,zenoh/src/lib.rs:205:37,
rust.key_expr.session.session_declarations,zenoh/src/lib.rs:205:46,
rust.key_expr.session.session_delete_builder,zenoh/src/lib.rs:204:32,
rust.key_expr.session.session_put_builder,zenoh/src/lib.rs:204:54,
rust.key_expr.session.session_ref,zenoh/src/lib.rs:205:67,
rust.key_expr.session.undeclarable,zenoh/src/lib.rs:205:79,
rust.key_expr.set_intersection_level,zenoh/src/lib.rs:182:51,
rust.liveliness.liveliness,zenoh/src/api/liveliness.rs:76:11;zenoh/src/lib.rs:333:8,
rust.liveliness.liveliness.declare_subscriber,zenoh/src/api/liveliness.rs:140:11,
rust.liveliness.liveliness.declare_token,zenoh/src/api/liveliness.rs:103:11,
rust.liveliness.liveliness.get,zenoh/src/api/liveliness.rs:177:11,
rust.liveliness.liveliness_get_builder,zenoh/src/api/liveliness.rs:604:11;zenoh/src/lib.rs:333:20,
rust.liveliness.liveliness_get_builder.callback,zenoh/src/api/liveliness.rs:630:11,
rust.liveliness.liveliness_get_builder.callback_mut,zenoh/src/api/liveliness.rs:670:11,
rust.liveliness.liveliness_get_builder.timeout,zenoh/src/api/liveliness.rs:723:11,
rust.liveliness.liveliness_get_builder.with,zenoh/src/api/liveliness.rs:701:11,
rust.liveliness.liveliness_subscriber_builder,zenoh/src/lib.rs:333:42,
rust.liveliness.liveliness_subscriber_builder.callback,zenoh/src/api/liveliness.rs:436:11,
rust.liveliness.liveliness_subscriber_builder.callback_mut,zenoh/src/api/liveliness.rs:477:11,
rust.liveliness.liveliness_subscriber_builder.with,zenoh/src/api/liveliness.rs:508:11,
rust.liveliness.liveliness_token,zenoh/src/api/liveliness.rs:292:11;zenoh/src/lib.rs:333:71,
rust.liveliness.liveliness_token.liveliness_subscriber_builder,zenoh/src/api/liveliness.rs:410:11,
rust.liveliness.liveliness_token.undeclare,zenoh/src/api/liveliness.rs:370:11,
rust.liveliness.liveliness_token_builder,zenoh/src/api/liveliness.rs:218:11;zenoh/src/lib.rs:334:8,
rust.liveliness.liveliness_token_undeclaration,zenoh/src/api/liveliness.rs:318:11;zenoh/src/lib.rs:334:32,
rust.open,zenoh/src/lib.rs:116:47,
rust.plugins.p_l_u_g_i_n__p_r_e_f_i_x,zenoh/src/lib.rs:367:82,
rust.plugins.plugins_manager,zenoh/src/lib.rs:367:8,
rust.plugins.response,zenoh/src/api/plugins.rs:61:11;zenoh/src/lib.rs:367:24,
rust.plugins.response.new,zenoh/src/api/plugins.rs:67:11,
rust.plugins.running_plugin,zenoh/src/lib.rs:367:34,
rust.plugins.running_plugin_trait,zenoh/src/api/plugins.rs:72:10;zenoh/src/lib.rs:367:49,
rust.plugins.zenoh_plugin,zenoh/src/api/plugins.rs:35:10;zenoh/src/lib.rs:367:69,
rust.prelude.async_resolve,zenoh/src/prelude.rs:68:21,
rust.prelude.flat.resolvable,zenoh/src/prelude.rs:37:32,
rust.prelude.flat.resolve,zenoh/src/prelude.rs:37:44,
rust.prelude.flat.z_error,zenoh/src/prelude.rs:37:24,
rust.prelude.flat.z_result,zenoh/src/prelude.rs:37:63,
rust.prelude.mods.buffers,zenoh/src/prelude.rs:59:8,
rust.prelude.mods.bytes,zenoh/src/prelude.rs:59:17,
rust.prelude.mods.config,zenoh/src/prelude.rs:59:24,
rust.prelude.mods.core,zenoh/src/prelude.rs:59:32,
rust.prelude.mods.encoding,zenoh/src/prelude.rs:59:38,
rust.prelude.mods.handlers,zenoh/src/prelude.rs:59:48,
rust.prelude.mods.key_expr,zenoh/src/prelude.rs:59:58,
rust.prelude.mods.publication,zenoh/src/prelude.rs:59:68,
rust.prelude.mods.query,zenoh/src/prelude.rs:59:81,
rust.prelude.mods.queryable,zenoh/src/prelude.rs:59:88,
rust.prelude.mods.sample,zenoh/src/prelude.rs:60:8,
rust.prelude.mods.scouting,zenoh/src/prelude.rs:60:16,
rust.prelude.mods.selector,zenoh/src/prelude.rs:60:26,
rust.prelude.mods.session,zenoh/src/prelude.rs:60:36,
rust.prelude.mods.shm,zenoh/src/prelude.rs:57:19,
rust.prelude.mods.subscriber,zenoh/src/prelude.rs:60:45,
rust.prelude.mods.time,zenoh/src/prelude.rs:60:57,
rust.prelude.mods.value,zenoh/src/prelude.rs:60:63,
rust.prelude.r#async.async_resolve,zenoh/src/prelude.rs:85:25,
rust.prelude.sync.sync_resolve,zenoh/src/prelude.rs:78:25,
rust.prelude.sync_resolve,zenoh/src/prelude.rs:70:21,
rust.prelude.wait,zenoh/src/prelude.rs:71:21,
rust.publication.congestion_control,zenoh/src/lib.rs:267:34,
rust.publication.matching_listener,zenoh/src/lib.rs:270:37,
rust.publication.matching_listener_builder,zenoh/src/lib.rs:272:37,
rust.publication.matching_listener_undeclaration,zenoh/src/lib.rs:274:37,
rust.publication.matching_status,zenoh/src/lib.rs:276:37,
rust.publication.priority,zenoh/src/lib.rs:286:22,
rust.publication.publication_builder,zenoh/src/api/builders/publication.rs:77:11,
rust.publication.publication_builder.allowed_destination,zenoh/src/api/builders/publication.rs:116:11,
rust.publication.publication_builder_delete,zenoh/src/api/builders/publication.rs:55:11;zenoh/src/lib.rs:283:12,
rust.publication.publication_builder_put,zenoh/src/api/builders/publication.rs:50:11;zenoh/src/lib.rs:283:38,
rust.publication.publisher,zenoh/src/lib.rs:286:32,
rust.publication.publisher_builder,zenoh/src/api/builders/publication.rs:255:11;zenoh/src/lib.rs:283:61,
rust.publication.publisher_builder.allowed_destination,zenoh/src/api/builders/publication.rs:310:11,
rust.publication.publisher_declarations,zenoh/src/lib.rs:278:37,
rust.publication.publisher_delete_builder,zenoh/src/lib.rs:284:12,
rust.publication.publisher_ref,zenoh/src/lib.rs:280:37,
rust.publication.publisher_undeclaration,zenoh/src/lib.rs:286:43,
rust.query.consolidation_mode,zenoh/src/lib.rs:297:8,
rust.query.get_builder,zenoh/src/api/query.rs:150:11;zenoh/src/lib.rs:297:27,
rust.query.get_builder.accept_replies,zenoh/src/api/query.rs:415:11,
rust.query.get_builder.allowed_destination,zenoh/src/api/query.rs:396:11,
rust.query.get_builder.callback,zenoh/src/api/query.rs:249:11,
rust.query.get_builder.callback_mut,zenoh/src/api/query.rs:308:11,
rust.query.get_builder.consolidation,zenoh/src/api/query.rs:385:11,
rust.query.get_builder.target,zenoh/src/api/query.rs:379:11,
rust.query.get_builder.timeout,zenoh/src/api/query.rs:405:11,
rust.query.get_builder.with,zenoh/src/api/query.rs:338:11,
rust.query.query_consolidation,zenoh/src/api/query.rs:50:11;zenoh/src/lib.rs:297:39,
rust.query.query_consolidation.a_u_t_o,zenoh/src/api/query.rs:57:14,
rust.query.query_consolidation.d_e_f_a_u_l_t,zenoh/src/api/query.rs:55:14,
rust.query.query_consolidation.mode,zenoh/src/api/query.rs:66:11,
rust.query.query_target,zenoh/src/lib.rs:297:59,
rust.query.r_e_p_l_y__k_e_y__e_x_p_r__a_n_y__s_e_l__p_a_r_a_m,zenoh/src/api/query.rs:430:10;zenoh/src/lib.rs:295:31,
rust.query.reply,zenoh/src/api/query.rs:86:11;zenoh/src/lib.rs:297:72,
rust.query.reply.into_result,zenoh/src/api/query.rs:103:11,
rust.query.reply.replier_id,zenoh/src/api/query.rs:108:11,
rust.query.reply.result,zenoh/src/api/query.rs:93:11,
rust.query.reply.result_mut,zenoh/src/api/query.rs:98:11,
rust.query.reply_key_expr,zenoh/src/api/query.rs:434:9;zenoh/src/lib.rs:293:31,
rust.query.reply_key_expr.any,zenoh/src/api/query.rs:435:4,
rust.query.reply_key_expr.matching_query,zenoh/src/api/query.rs:436:4,
rust.queryable.query,zenoh/src/api/queryable.rs:75:11;zenoh/src/lib.rs:306:8,
rust.queryable.query.accepts_replies,zenoh/src/api/queryable.rs:238:11,
rust.queryable.query.attachment,zenoh/src/api/queryable.rs:137:11,
rust.queryable.query.attachment_mut,zenoh/src/api/queryable.rs:143:11,
rust.queryable.query.encoding,zenoh/src/api/queryable.rs:131:11,
